"","category","title","url","desc","note","url.n"
"211","secundaere","mediating modern poetry","https://mmp.mml.ox.ac.uk","oxford:: karen leeder","",""
"212","secundaere","weltliteratur","https://weltliteratur.net",":black market for the digital humanities:","",""
"213","secundaere","OSF","https://osf.io","open research platform","",""
"214","secundaere","Lacan entziffern","https://lacan-entziffern.de/anderer/metapher-und-metonymie/","rolf nemitz","",""
"215","secundaere","sprache und wissen","http://sprache-und-wissen.de","","",""
"216","secundaere","HiFoS","http://www.hifos.uni-trier.de/index.html","Projekt ""Historische Formelhafte Sprache und Traditionen des Formulierens""","",""
"217","secundaere","Germanistik...","https://www.germanistik-im-netz.de/recherchieren/datenquellen/","...im Netz.","",""
"218","secundaere","literaturwissenschaft...","http://www.einladung-zur-literaturwissenschaft.de/index.html","...einladung zur.","",""
"219","secundaere","leibniz institut für deutsche sprache","https://www1.ids-mannheim.de/onlineangebote","","",""
"220","secundaere","CLIO-online","https://www.clio-online.de","fachportal für geschichte und geschichtswissenschaften.","",""
"221","secundaere","synergiewissen","https://www.zflprojekte.de/synergie/doku.php","WIKI open acces lexikon.","",""
"222","secundaere","ZFL","https://www.zfl-berlin.org/das-zfl.html","leibniz zentrum für literatur- und kulturforschung berlin.","",""
"223","secundaere","GIB","http://www.gib.uni-tuebingen.de/netzwerk/glossar/index.php?title=GIB_-_Glossar_der_Bildphilosophie:Portal","glossar der bildphilosophie (uni tübingen)","",""
"224","EXKURS","ada fruit","https://learn.adafruit.com/minty-boost/icharging","mint tech","",""
"225","EXKURS","GitLab","https://gitlab.informatik.uni-halle.de/explore/projects?non_archived=true&page=6&sort=latest_activity_desc","git uni halle","",""
"226","EXKURS","destatis DB","https://www-genesis.destatis.de/genesis/online","statistisches bundesamt","",""
"227","EXKURS","leibniz institut","https://www.ifz-muenchen.de/das-archiv/","","",""
"228","EXKURS","fis broker","https://www.stadtentwicklung.berlin.de/geoinformation/fis-broker/%7Cfis%20broker","","",""
"229","EXKURS","multimedia laboratory","http://medialab.di.unipi.it/Resource/POS/","","",""
"230","EXKURS","learn buchhaltung","https://www.rechnungswesen-info.de/buchfuehrung.html","","",""
"231","EXKURS","lorberg pflanzenkatalog","http://www.lorberg.com/de/","","",""
"232","EXKURS","www.biorxiv.org","https://www.biorxiv.org","","",""
"233","EXKURS","EDQM","https://www.edqm.eu/en/knowledge-database","knowledge database pharmacy","",""
"234","EXKURS","wikipedia on greek mythology","https://de.wikipedia.org/wiki/Liste_der_Gestalten_der_griechischen_Mythologie/A","","",""
"235","EXKURS","pflanzenfundgrube systematisch","http://pflanzenfundgrube.zum.de/cgi-bin/show.app","","",""
"236","LIT/ART/CON/CAL# ","HiSoN","https://hison.org","historical sociolinguistics network","",""
"237","LIT/ART/CON/CAL# ","jacobin/ada","https://jacobin.de/","socialist online magazine","",""
"238","LIT/ART/CON/CAL# ","translationista","https://translationista.com/2022/09/notes-from-the-magic-mountain-9-12-22.html","s. bernofsky","",""
"239","LIT/ART/CON/CAL# ","onur solmaz","https://solmaz.io","tech alii blog","",""
"240","LIT/ART/CON/CAL# ","fabrikzeitung","https://www.fabrikzeitung.ch/still-jenny-from-the-block/#","CH","",""
"241","LIT/ART/CON/CAL# ","tegel media","https://tegelmedia.net/#content","","",""
"242","LIT/ART/CON/CAL# ","serpentmagazine","https://serpentmagazine.github.io","","",""
"243","LIT/ART/CON/CAL# ","lfb","https://lfbrecht.de/events/","literaturforum im brechthaus","",""
"244","LIT/ART/CON/CAL# ","IKA wien","https://ika.akbild.ac.at","institut für kunst und architektur","",""
"245","LIT/ART/CON/CAL# ","herrndorf","https://www.wolfgang-herrndorf.de","arbeit und struktur","",""
"246","LIT/ART/CON/CAL# ","UNI AK wien","https://sprachkunst.uni-ak.ac.at","institut für sprachkunst der universität für angewandte kunst wien","",""
"247","LIT/ART/CON/CAL# ","ERB","https://europeanreviewofbooks.com","european review of book:: yet to be funded","",""
"248","LIT/ART/CON/CAL# ","exit shabbes","https://userblogs.fu-berlin.de/exitshabbes","diskurspartikel enter/exit shabbes","",""
"249","LIT/ART/CON/CAL# ","sanfte zerstörung","https://sanfte-zerstoerung.de/index.php","gendergaga 4u","",""
"250","LIT/ART/CON/CAL# ","queer poets in greek","https://queerpoets.com/maggie-smith/","","",""
"251","LIT/ART/CON/CAL# ","check your habitus","https://checkyourhabitus.com","","",""
"252","LIT/ART/CON/CAL# ","alles dicht","https://allesdichtmachen.de","online theaterpremieren","",""
"253","LIT/ART/CON/CAL# ","Ctrl+Alt+Dem","https://alternative-democracy-research.org","Jan Blommaert's research blog","",""
"254","LIT/ART/CON/CAL# ","letters from an american","https://heathercoxrichardson.substack.com","heather cox richardson","",""
"255","LIT/ART/CON/CAL# ","kon paper","https://kon-paper.com","zeitschrift","",""
"256","LIT/ART/CON/CAL# ","intrige","https://intrige.ch","magazin für junges theater","",""
"257","LIT/ART/CON/CAL# ","nachtkritik","https://nachtkritik.de/index.php?option=com_content&view=featured&Itemid=100190","","",""
"258","LIT/ART/CON/CAL# ","sarah raich","https://www.sarah-raich.de/die-fehlenden-buecher","autorin","",""
"259","LIT/ART/CON/CAL# ","kalender literaturszene BLN","https://www.literaturszene.berlin/kalender/","","",""
"260","LIT/ART/CON/CAL# ","diffrakt.space","http://diffrakt.space/en/en-plein-air-ethnographies-of-the-digital/","","",""
"261","LIT/ART/CON/CAL# ","ICI berlin - institute for cultural inquiry","https://www.ici-berlin.org","","",""
"262","LIT/ART/CON/CAL# ","transphilosophen","http://transphilosophisch.de","","",""
"263","LIT/ART/CON/CAL# ","wochendämmerung","https://wochendaemmerung.de","BLN world view","",""
"264","LIT/ART/CON/CAL# ","christina fjeldavlino","https://christinafjeldavlino.home.blog","blog norge","",""
"265","LIT/ART/CON/CAL# ","sprachlog","http://www.sprachlog.de/2011/12/14/frauen-natuerlich-ausgenommen/","a. stefanowitsch","",""
"266","LIT/ART/CON/CAL# ","favoriten festival","http://favoriten-festival.de/magazin?topic=51","","",""
"267","LIT/ART/CON/CAL# ","R.R.R.","http://rrr.haus-des-wandels.de","","",""
"268","LIT/ART/CON/CAL# ","echtzeitmusik","http://www.echtzeitmusik.de/index.php?page=calendar","","",""
"269","LIT/ART/CON/CAL# ","HU linguistik kalender","https://hpsg.hu-berlin.de/Events/","","",""
"270","LIT/ART/CON/CAL# ","conceptual poetics day","http://www.conceptualpoeticsday.org","","",""
"271","LIT/ART/CON/CAL# ","INS berlin","http://www.necronauts.net/berlin/documents/index","","",""
"272","LIT/ART/CON/CAL# ","little STEIDL","https://littlesteidl.de/haus-fuer-einen-kunstverlag/","","",""
"273","LIT/ART/CON/CAL# ","b**books","http://www.b-books.de/share.htm","","",""
"274","LIT/ART/CON/CAL# ","KP manuale","https://kirstenpalz.com/100-manual","","",""
"275","LIT/ART/CON/CAL# ","graum xyz","https://www.graum.xyz/publications/","","",""
"276","LIT/ART/CON/CAL# ","diaphanes. 100000words","http://100000words.net","","",""
"277","LIT/ART/CON/CAL# ","IOWA city public library presentations","https://iwp.uiowa.edu/archives/iowa-city-public-library-presentations/2016","","",""
"278","LIT/ART/CON/CAL# ","ann quinn. eye of the storm.","https://annquinn.org/eye-of-the-storm-vai/","","",""
"279","LIT/ART/CON/CAL# ","afsnit P","https://afsnitp.dk/galleri/archiveszaroum/","","",""
