title,url,cat,notes
"KVIT","https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,10976&searchType=METADATA&ftsMethod=0&ftsType=0&searchName=regular","primaere",""
"DBIS - Nexis Uni","https://dbis.ur.de/FUB/resources/1670?lang=de","primaere",""
"Harrassowitz Verlag - The Harrassowitz Publishing House Harrassowitz Verlag","https://www.harrassowitz-verlag.de/Hebrew/subjects_905.ahtml","primaere",""
"Archive - Italian Journal of Linguistics","https://www.italian-journal-linguistics.com/archive/","primaere",""
"FELIX MEINER VERLAG: Philosophische Traditionen und Denkschulen","https://meiner-elibrary.de/book-subject/1684/philosophical-traditions-and-schools-of-thought?q=%2Fbook-subject%2F1684%2Fphilosophical-traditions-and-schools-of-thought","primaere","Menu Expand Freie Universität Berlin Universitätsbibliothek EN / DE Anmelden Titel suchenSuche Verlage Schriftenreihen Zeitschriften Fachgebiete (Bücher) Kollektionen Open Access Autoren & Herausgeber Meine Bibliothek "
"QUIDEX: schlüsselstellen","https://pages.cms.hu-berlin.de/schluesselstellen/quidex/index.html?work=Judenbuche&lang=de","secundaere",""
"mediating modern poetry","https://mmp.mml.ox.ac.uk/","secundaere",""
"weltliteratur","https://weltliteratur.net/","secundaere",""
"OSF","https://osf.io/","secundaere",""
"Lacan entziffern","https://lacan-entziffern.de/anderer/metapher-und-metonymie/","secundaere",""
"sprache und wissen","http://sprache-und-wissen.de/","secundaere",""
"HiFoS","http://www.hifos.uni-trier.de/index.html","secundaere",""
"Germanistik...","https://www.germanistik-im-netz.de/recherchieren/datenquellen/","secundaere",""
"literaturwissenschaft...","http://www.einladung-zur-literaturwissenschaft.de/index.html","secundaere",""
"leibniz institut für deutsche sprache","https://www1.ids-mannheim.de/onlineangebote","secundaere",""
"CLIO-online","https://www.clio-online.de/","secundaere",""
"synergiewissen","https://www.zflprojekte.de/synergie/doku.php","secundaere",""
"ZFL","https://www.zfl-berlin.org/das-zfl.html","secundaere",""
"GIB","http://www.gib.uni-tuebingen.de/netzwerk/glossar/index.php?title=GIB_-_Glossar_der_Bildphilosophie:Portal","secundaere",""
"DBIS - Encyclopaedia Judaica","https://dbis.ur.de/FUB/resources/6830?lang=de","secundaere",""
"Archiv | HannahArendt.net","https://www.hannaharendt.net/index.php/han/issue/archive","secundaere",""
"Collection: Hannah Arendt Papers | Library of Congress","https://findingaids.loc.gov/repositories/19/resources/2053","secundaere",""
"ada fruit","https://learn.adafruit.com/minty-boost/icharging","EXKURS",""
"GitLab","https://gitlab.informatik.uni-halle.de/explore/projects?non_archived=true&page=6&sort=latest_activity_desc","EXKURS",""
"destatis DB","https://www-genesis.destatis.de/genesis/online","EXKURS",""
"leibniz institut","https://www.ifz-muenchen.de/das-archiv/","EXKURS",""
"fis broker","https://www.stadtentwicklung.berlin.de/geoinformation/fis-broker/%7Cfis%20broker","EXKURS",""
"multimedia laboratory","http://medialab.di.unipi.it/Resource/POS/","EXKURS",""
"learn buchhaltung","https://www.rechnungswesen-info.de/buchfuehrung.html","EXKURS",""
